# BEGIN PLOT
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_MET/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_MET/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_MET/met_incl
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_MET/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_MET/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_MET/met_incl
Title=Vector missing $E_T$ in incl acceptance
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/met_incl
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
XLabel=Vector missing $E_T$ [GeV]
YLabel=$1/\sigma \, \mathrm{d}\sigma / \mathrm{d}\sum E_T$ [GeV$^{-1}$]
Legend=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/met_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/met_incl
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.181779e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.181779e+00	1.396602e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.396602e+00	1.650476e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.650476e+00	1.950498e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.950498e+00	2.305058e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.305058e+00	2.724070e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.724070e+00	3.219249e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.219249e+00	3.804442e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.804442e+00	4.496011e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.496011e+00	5.313293e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.313293e+00	6.279139e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.279139e+00	7.420557e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.420557e+00	8.769461e+00	3.706713e-05	3.706713e-05	3.706713e-05
8.769461e+00	1.036357e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.036357e+01	1.224745e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.224745e+01	1.447378e+01	4.491697e-05	3.176109e-05	3.176109e-05
1.447378e+01	1.710481e+01	5.701189e-05	3.291583e-05	3.291583e-05
1.710481e+01	2.021412e+01	4.824221e-05	2.785266e-05	2.785266e-05
2.021412e+01	2.388862e+01	8.164376e-05	3.333093e-05	3.333093e-05
2.388862e+01	2.823108e+01	6.908527e-05	2.820394e-05	2.820394e-05
2.823108e+01	3.336291e+01	3.897245e-05	1.948623e-05	1.948623e-05
3.336291e+01	3.942759e+01	9.893350e-05	2.855964e-05	2.855964e-05
3.942759e+01	4.659471e+01	9.766824e-05	2.610294e-05	2.610294e-05
4.659471e+01	5.506467e+01	7.674180e-05	2.128435e-05	2.128435e-05
